StudentID,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,Grade
745263,GP,F,18,R,GT3,A,Tertiary education,Secondary education,other,services,home,mother,2,2,0,no,no,no,no,no,no,yes,yes,4,1,1,1,1,very good,15,12,9,10
174740,MS,F,17,U,GT3,T,Tertiary education,Secondary education,at_home,other,home,mother,2,1,0,no,no,no,no,yes,yes,no,yes,4,3,3,2,2,very bad,5,9,,11
308261,GP,F,15,U,LE3,T,Tertiary education,Secondary education,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,very good,4,12,11,11
337549,MS,F,17,U,GT3,T,Secondary education,Secondary education,other,at_home,course,mother,1,1,0,no,yes,no,yes,yes,no,no,no,4,5,3,1,1,very good,4,9,9,10
318969,GP,F,17,U,GT3,T,Postgraduate education,Postgraduate education,other,teacher,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,good,0,13,13,13
922352,GP,F,16,U,GT3,T,Secondary education,Secondary education,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,average,1,13,13,13
721820,MS,F,17,U,GT3,T,Postgraduate education,Tertiary education,teacher,other,fee,mother,2,2,0,no,no,no,no,yes,yes,yes,no,5,5,4,1,1,very bad,0,6,9,11
778843,GP,M,16,U,GT3,T,Tertiary education,Primary education,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,very good,2,13,11,11
368093,MS,M,15,R,GT3,T,Primary education,Secondary education,other,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,no,no,5,5,5,1,3,very good,11,9,11,10
860463,MS,F,18,U,GT3,A,Secondary education,Postgraduate education,other,services,reputation,father,1,2,1,no,yes,no,no,yes,yes,yes,no,2,3,2,1,3,very bad,8,8,5,8
757917,GP,M,19,R,GT3,T,Tertiary education,Tertiary education,other,services,reputation,father,1,2,0,no,no,no,yes,yes,yes,no,yes,4,5,3,1,2,very good,0,10,10,11
112666,GP,F,17,U,LE3,A,Secondary education,Primary education,other,other,course,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,3,2,2,1,2,very good,8,11,10,11
339931,GP,F,16,R,GT3,T,Postgraduate education,Postgraduate education,health,teacher,fee,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,good,0,17,16,16
752664,GP,F,17,U,GT3,T,Postgraduate education,Postgraduate education,services,teacher,home,mother,2,1,1,no,yes,no,no,yes,yes,yes,no,4,2,4,2,3,bad,30,14,15,16
260196,MS,M,17,U,GT3,T,Tertiary education,Tertiary education,health,other,course,mother,2,2,1,no,yes,no,no,yes,yes,yes,no,4,5,4,2,3,average,4,8,9,10
369544,GP,F,17,U,GT3,T,Primary education,Primary education,services,teacher,reputation,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,average,0,13,13,14
987225,MS,F,18,R,LE3,A,Postgraduate education,Secondary education,teacher,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,1,1,1,very good,0,5,0,0
843583,MS,F,18,R,LE3,A,Primary education,Secondary education,at_home,other,course,mother,3,2,0,no,no,no,no,yes,yes,no,yes,4,3,4,1,4,very good,0,16,15,15
