hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,
Resort Hotel,0,342,2015,July,27,1,0,0,2,0,0,BB,NGN,Direct,Direct,0,0,0,C,C,3,No Deposit,,,0,Transient,0,0,0,Check-Out,
Resort Hotel,0,737,2015,July,27,1,0,0,2,0,0,BB,NGN,Direct,Direct,0,0,0,C,C,4,No Deposit,,,0,Transient,0,0,0,Check-Out,
Resort Hotel,0,7,2015,July,27,1,0,1,1,0,0,BB,NGN,Direct,Direct,0,0,0,A,C,0,No Deposit,,,0,Transient,75,0,0,Check-Out,
Resort Hotel,0,13,2015,July,27,1,0,1,1,0,0,BB,NGN,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304,,0,Transient,75,0,0,Check-Out,
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,98,0,1,Check-Out,
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,98,0,1,Check-Out,
Resort Hotel,0,0,2015,July,27,1,0,2,2,0,0,BB,NGN,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,107,0,0,Check-Out,
Resort Hotel,0,9,2015,July,27,1,0,2,2,0,0,FB,NGN,Direct,Direct,0,0,0,C,C,0,No Deposit,303,,0,Transient,103,0,1,Check-Out,
Resort Hotel,1,85,2015,July,27,1,0,3,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,82,0,1,Canceled,
Resort Hotel,1,75,2015,July,27,1,0,3,2,0,0,HB,NGN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15,,0,Transient,105.5,0,0,Canceled,
Resort Hotel,1,23,2015,July,27,1,0,4,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,123,0,0,Canceled,
Resort Hotel,0,35,2015,July,27,1,0,4,2,0,0,HB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,145,0,0,Check-Out,
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,,0,Transient,97,0,3,Check-Out,
Resort Hotel,0,18,2015,July,27,1,0,4,2,1,0,HB,NGN,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,241,,0,Transient,154.77,0,1,Check-Out,
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,,0,Transient,94.71,0,0,Check-Out,
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,,0,Transient,97,0,3,Check-Out,
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8,,0,Contract,97.5,0,0,Check-Out,
Resort Hotel,0,12,2015,July,27,1,0,1,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,240,,0,Transient,88.2,0,0,Check-Out,
Resort Hotel,0,0,2015,July,27,1,0,1,2,0,0,BB,NGN,Corporate,Corporate,0,0,0,A,G,0,No Deposit,,110,0,Transient,107.42,0,0,Check-Out,
Resort Hotel,0,7,2015,July,27,1,0,4,2,0,0,BB,NGN,Direct,Direct,0,0,0,G,G,0,No Deposit,250,,0,Transient,153,0,1,Check-Out,
Resort Hotel,0,37,2015,July,27,1,1,4,1,0,0,BB,NGN,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,,0,Transient,97.29,0,1,Check-Out,
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,NGN,Direct,Direct,0,0,0,A,A,1,No Deposit,250,,0,Transient,84.67,0,1,Check-Out,
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,NGN,Direct,Direct,0,0,0,A,A,1,No Deposit,250,,0,Transient,84.67,0,1,Check-Out,
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,NGN,Direct,Direct,0,0,0,D,D,1,No Deposit,250,,0,Transient,99.67,0,1,Check-Out,
Resort Hotel,0,127,2015,July,27,1,2,5,2,0,0,HB,NGN,Offline TA/TO,TA/TO,0,0,0,D,I,0,No Deposit,115,,0,Contract,94.95,0,1,Check-Out,
Resort Hotel,0,78,2015,July,27,1,2,5,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,5,,0,Transient,63.6,1,0,Check-Out,
Resort Hotel,0,48,2015,July,27,1,2,5,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Contract,79.5,0,0,Check-Out,
Resort Hotel,1,60,2015,July,27,1,2,5,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,107,0,2,Canceled,
Resort Hotel,0,77,2015,July,27,1,2,5,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,94,0,0,Check-Out,
Resort Hotel,0,99,2015,July,27,1,2,5,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,87.3,1,1,Check-Out,
Resort Hotel,0,118,2015,July,27,1,4,10,1,0,0,BB,NGN,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,62,0,2,Check-Out,
Resort Hotel,0,95,2015,July,27,1,4,11,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,63.86,0,0,Check-Out,
Resort Hotel,1,96,2015,July,27,1,2,8,2,0,0,BB,NGN,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,108.3,0,2,Canceled,
Resort Hotel,0,69,2015,July,27,2,2,4,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,175,,0,Transient,65.5,0,0,Check-Out,
Resort Hotel,1,45,2015,July,27,2,1,3,3,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,108.8,0,1,Canceled,
Resort Hotel,1,40,2015,July,27,2,1,3,3,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,108.8,0,1,Canceled,
Resort Hotel,0,15,2015,July,27,2,1,3,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,98,0,0,Check-Out,
Resort Hotel,0,36,2015,July,27,2,1,3,3,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,108.8,0,1,Check-Out,
Resort Hotel,1,43,2015,July,27,2,1,3,3,0,0,BB,NGN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,108.8,0,0,Canceled,
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,NGN,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,137,0,1,Check-Out,
Resort Hotel,1,45,2015,July,27,2,2,3,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241,,0,Transient,117.81,0,0,Canceled,
Resort Hotel,0,45,2015,July,27,2,2,3,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,8,,0,Contract,79.5,0,0,Check-Out,
Resort Hotel,0,16,2015,July,27,2,2,3,2,0,0,BB,NGN,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,123,0,0,Check-Out,
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,NGN,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,137,0,1,Check-Out,
Resort Hotel,0,107,2015,July,27,2,2,5,2,0,0,BB,NGN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,110.7,0,2,Check-Out,
Resort Hotel,1,47,2015,July,27,2,2,5,2,2,0,BB,NGN,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,153,0,0,Canceled,
Resort Hotel,0,96,2015,July,27,2,2,5,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,,0,Transient,58.95,0,1,Check-Out,
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NGN,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,156,,0,Transient-Party,82.88,0,2,Check-Out,
Resort Hotel,0,90,2015,July,27,2,2,5,2,0,0,HB,NGN,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,243,,0,Contract,82.35,0,0,Check-Out,
