price,crime_rate,resid_area,air_qual,room_num,age,teachers,poor_prop,airport,n_hos_beds,n_hot_rooms,rainfall,waterbody_Encoded,avg_dist
24.0,0.006300112548479956,32.31,0.538,6.575,65.2,24.7,4.98,1,5.48,11.192,23,1.0,4.0875
21.6,0.02694373544754613,37.07,0.469,6.421,78.9,22.2,9.14,0,7.332,12.1728,42,2.0,4.9675
34.7,0.02692426693786002,37.07,0.469,7.185,61.1,22.2,4.03,0,7.394,46.19856,38,0.0,4.9675
33.4,0.0318571299356596,32.18,0.458,6.998,45.8,21.3,2.94,1,9.268,11.2672,45,2.0,6.065
36.2,0.06677040363385242,32.18,0.458,7.147,54.2,21.3,5.33,0,8.824,11.2896,55,2.0,6.0625
28.7,0.02941316056834955,32.18,0.458,6.43,58.7,21.3,5.21,1,7.174,14.2296,53,0.0,6.0600000000000005
22.9,0.08460765703482562,37.87,0.524,6.012,66.6,24.8,12.43,1,6.958,12.1832,41,1.0,5.56
22.1,0.1350115466558769,37.87,0.524,6.172,96.1,24.8,19.15,0,5.842,12.1768,56,2.0,5.95
16.5,0.19164462825480608,37.87,0.524,5.631,100.0,24.8,29.93,1,5.93,12.132,55,0.0,6.0825
18.9,0.15703793625945522,37.87,0.524,6.004,85.9,24.8,17.1,1,9.478,14.1512,45,1.0,6.59
15.0,0.20285104404642815,37.87,0.524,6.377,94.3,24.8,20.45,0,6.0,11.12,29,2.0,6.3475
18.9,0.11106720150765234,37.87,0.524,6.009,82.9,24.8,13.27,0,9.278,13.1512,23,3.0,6.2250000000000005
21.7,0.0896395868849593,37.87,0.524,5.889,39.0,24.8,15.71,1,5.534,10.1736,57,3.0,5.452499999999999
20.4,0.4884327647141028,38.14,0.538,5.949,61.8,19.0,8.26,1,5.908,14.1632,39,0.0,4.7075
18.2,0.49345156510828403,38.14,0.538,6.096,84.5,19.0,10.26,0,6.964,13.1456,49,0.0,4.465
19.9,0.4869775044907407,38.14,0.538,5.834,56.5,19.0,8.47,1,8.498,14.1592,28,1.0,4.4975
23.1,0.7197550310814291,38.14,0.538,5.935,29.3,19.0,6.58,0,5.462,10.1848,46,0.0,4.5
17.5,0.5789701354975461,38.14,0.538,5.99,81.7,19.0,14.67,0,5.45,11.14,56,2.0,4.26
20.2,0.5892910882451726,38.14,0.538,5.456,36.6,19.0,11.69,1,8.504,12.1616,41,3.0,3.795
18.2,0.5456907110920701,38.14,0.538,5.727,69.5,19.0,11.28,0,8.564,12.1456,27,3.0,3.8
